1122 05:23	Dungeon 기지 58 B구역
0923 10:03	Bok일반
0923 09:06	Bok일반
0923 09:04	Bok일반
0923 08:07	Bok일반
0923 08:04	Bok일반
0923 07:33	Dungeon_week No
0923 07:32	Dungeon_week B 구역
0923 07:06	Bok일반
0923 07:03	Bok일반
0923 06:06	Bok일반
0923 06:03	Bok일반
0923 05:27	Dungeon_week 기지 5충 D구역
0923 05:24	Dungeon_week 기지 5층 B구역
0923 05:06	Bok일반
0923 05:03	Bok일반
0923 04:06	Bok일반
0923 04:03	Bok일반
0923 03:06	Bok일반
0923 03:03	Bok일반
0923 02:28	Bok일반
0923 02:10	Bok일반
0923 02:07	Bok일반

